aminerKey,dblpKey,title
769497,2155772,Structuring and presenting annotated media repositories.
1992044,2155773,Modeling uncertain provenance and provenance of uncertainty in W3C PROV.
1874837,2867768,Sequential Entity Group Topic Model for Getting Topic Flows of Entity Groups within One Document.
956599,2155776,Multiway SLCA-based keyword search in XML data.
807303,2155777,Internet search engines: past and future.
807432,2155775,Semantic search of schema repositories.
1274728,3132732,The Utility of Expert Knowledge.
1274928,3132733,Metric Properties of Structured Data Visualizations through Generative Probabilistic Modeling.
2033125,3134249,Smoothing for Bracketing Induction.
25111,3134243,A Formal Approach to Learning From Examples.
1270139,2145672,MasDISPO: A Multiagent Decision Support System for Steel Production and Control.
1477359,2145670,An Algorithm for Real-Time Tracking of Non-Rigid Objects.
1587346,3080939,Enhancing Deniability against Query-Logs.
884106,2890061,Multiscale Nonlinear Diffusion and Shock Filter for Ultrasound Image Enhancement.
1502398,2890065,Automatic View Recognition in Echocardiogram Videos Using Parts-Based Representation.
1715598,3080930,sPLMap: A Probabilistic Approach to Schema Matching.
1806016,3080931,Top-k Retrieval Using Facility Location Analysis.
1415743,3080933,Computing Information Retrieval Performance Measures Efficiently in the Presence of Tied Scores.
1392509,3080934,A Hierarchical Consensus Architecture for Robust Document Clustering.
1967788,3080935,Recommending High Utility Query via Session-Flow Graph.
1742084,3080937,Adapting the Naive Bayes Classifier to Rank Procedural Texts.
1390182,2867187,"A Method for Aggregating Partitions, Applications in K.D.D."
592234,2891330,Comparison of Approaches to Egomotion Computation.
502130,2867184,Value Added Association Rules.
1393212,2867183,Approximate Trace of Grid-Based Clusters over High Dimensional Data Streams.
812569,2891334,Fast Spatial Pattern Discovery Integrating Boosting with Constellations of Contextual Descriptors.
501524,2867181,Improving the Performance of Boosting for Naive Bayesian Classification.
501199,2867180,Automatic Visualization Method for Visual Data Mining.
502146,2867189,Efficiently Mining Gene Expression Data via Integrated Clustering and Validation Techniques.
1560428,2154428,Information spreading in context.
342960,2154421,When experts agree: using non-affiliated experts to rank popular topics.
1400140,2154420,Web-based framework for spatiotemporal screen real estate management of interactive public displays.
956604,2154423,A high-performance interpretive approach to schema-directed parsing.
1991970,2154422,The linked data platform (LDP).
1747145,2154425,Towards an interoperable device profile containing rich user constraints.
1746916,2154424,Clustering and load balancing optimization for redundant content removal.
330748,2154427,Towards second and third generation web-based multimedia.
769415,2154426,Choosing the best knowledge base system for large semantic web applications.
1617388,1700995,TRUMIT: A Tool to Support Large-Scale Mining of Text Association Rules.
1451257,2517929,Nonnegative shared subspace learning and its application to social media retrieval.
1991902,2517928,Understanding Twitter data with TweetXplorer.
1605976,2517925,An information theoretic framework for data mining.
1872338,2517924,Robust multi-task feature learning.
1083706,2517927,SAIL: summation-based incremental learning for information-theoretic clustering.
1872264,2517926,A shapelet transform for time series classification.
1872330,2517921,Review spam detection via temporal pattern discovery.
1083676,2517920,Cut-and-stitch: efficient parallel learning of linear dynamical systems on smps.
771927,2517923,Document preprocessing for naive Bayes classification and clustering with mixture of multinomials.
529338,2143530,A Game-Theoretic Approach to Constraint Satisfaction.
1269486,2143536,The Regularized EM Algorithm.
1478709,2143534,Using an Annotated Language Corpus as a Virtual Stochastic Grammar.
2006168,2910965,Learning open-domain comparable entity graphs from user search queries.
915293,2074367,Incremental Mining of Frequent Query Patterns from XML Queries for Caching.
1992034,2156047,A click model for time-sensitive queries.
1217180,1721589,E = MC3: managing uncertain enterprise data in a cluster-computing environment.
1217205,1721588,GAMPS: compressing multi sensor data by grouping and amplitude scaling.
956539,2156048,Random web crawls.
300210,1721582,Handling Very Large Databases with Informix Extended Parallel Server.
1217201,1721581,DDE: from dewey to a fully dynamic XML labeling scheme.
1971526,1721580,Parallel analytics as a service.
341233,1721586,Implementation of Integrity Constraints and Views by Query Modification.
874994,1721585,Communication-efficient distributed monitoring of thresholded counts.
1972759,1721584,Mind the gap: large-scale frequent sequence mining.
529813,2143288,Heterogeneous Neuron Models Based on Similarity.
283196,2143284,Control Knowledge in Planning: Benefits and Tradeoffs.
1250184,2143287,Interactive Information Extraction with Constrained Conditional Random Fields.
1478652,2143281,Towards a Reading Coach that Listens: Automated Detection of Oral Reading Errors.
1499565,2143280,Embracing Causality in Specifying the Indeterminate Effects of Actions.
1270237,2143283,Accuracy of Admissible Heuristic Functions in Selected Planning Domains.
1475650,2143282,Validating Generalized Plans in the Presence of Incomplete Information.
960293,1721055,From complete to incomplete information and back.
300164,1721057,Towards Self-Tuning Data Placement in Parallel Database Systems.
810123,1721056,Computing for biologists: lessons from some successful case studies.
82346,1721051,Practical Selectivity Estimation through Adaptive Sampling.
875060,1721053,CS cache engine: data access accelerator for location-based service in mobile environments.
1217216,1721052,A comparison of flexible schemas for software as a service.
1130849,2910960,Revisiting the relationship between document length and relevance.
397394,1721058,A compact B-tree.
1100090,2275945,Counter-Example Generation-Based One-Class Classification.
1117072,2072574,Sampling for Sequential Pattern Mining: From Static Databases to Data Streams.
1967775,3080579,Updating Users about Time Critical Events.
458684,2276161,An Empirical Study of Encoding Schemes and Search Strategies in Discovering Causal Networks.
1475623,2141127,Computational Costs versus Benefits of Control Reasoning.
2006200,2910963,Load-sensitive selective pruning for distributed search.
299968,2193371,Query Containment for Data Integration Systems.
1478767,2144015,Texture-Based Heuristics for Scheduling Revisited.
1699616,2276163,Learning to Complete Sentences.
194956,1431738,On Mixing Queries and Transactions via Multiversion Locking.
283401,2144017,Text Compression as a Test for Artificial Intelligence.
462171,1431739,Queries in Object-Oriented Databases.
1560358,2153702,A unified framework for recommending diverse and relevant queries.
1972735,1722638,CARTILAGE: adding flexibility to the Hadoop skeleton.
1770414,1722639,TAO: how facebook serves the social graph.
960356,1720728,Supporting entity search: a large-scale prototype search engine.
201973,1720729,The SAMOS Active DBMS Prototype.
300237,1720724,Self-Organizing Data Sharing Communities with SAGRES.
32881,1720725,Non-deterministic Modelling of Logical Queries in Deductive Databases.
397426,1720726,Querying and mining data streams: you only get one look a tutorial.
1770399,1720721,Clydesdale: structured data processing on hadoop.
1063524,1720722,Serializable isolation for snapshot databases.
1063535,1720723,Supporting OLAP operations over imperfectly integrated taxonomies.
1269935,2140169,Manifold Denoising as Preprocessing for Finding Natural Representations of Data.
727835,2071918,A Fast Algorithm for Computing Hypergraph Transversals and its Application in Mining Emerging Patterns.
727856,2071917,Analyzing High-Dimensional Data by Subspace Validity.
