aminerKey,title
2550675,Doc2Sent2Vec: A Novel Two-Phase Approach for Learning Document Representation.
2193184,Range-Max Queries on Uncertain Data.
2144209,PB-smodels a Pseudo-Boolean Solver.
2142874,Convergence to Equilibria in Plurality Voting.
2142870,Constrained Coclustering for Textual Documents.
2142873,Noisy Submodular Maximization via Adaptive Sampling with Applications to Crowdsourced Image Collection Summarization.
2142872,Fast Optimal Clearing of Capped-Chain Barter Exchanges.
2142878,Frugal Bribery in Voting.
2152912,GalaxyExplorer: Influence-Driven Visual Exploration of Context-Specific Social Media Interactions.
1720916,Database Issues in Telecommunications Network Management.
2868168,Towards Automatic Generation of Metafeatures.
2868165,Significant Pattern Mining with Confounding Variables.
2868166,Immune Centroids Over-Sampling Method for Multi-Class Classification.
2868160,An Expert-in-the-loop Paradigm for Learning Medical Image Grouping.
2694752,Pseudo Cold Start Link Prediction with Multiple Sources in Social Networks.
1433302,Joining Massive High-Dimensional Datasets.
2276023,Iterative Ensemble Classification for Relational Data: A Case Study of Semantic Web Services.
2276027,SWITCH: A Novel Approach to Ensemble Learning for Heterogeneous Data.
2143350,Learning to Sing Like a Bird: The Self-Supervised Acquisition of Birdsong.
2548991,Do batch and user evaluation give the same results?
2548992,Entity query feature expansion using knowledge base links.
2548993,Evaluating intuitiveness of vertical-aware click models.
2549020,Interactive Information Retrieval Systems: From User Centred Interface Design to Software Design.
2549029,The User View of File Management: Recommendations for a User Interface Based in an Analysis of UNIX File System Use.
2895146,A visual-motion fixation invariant.
2895147,YouTubeCat: Learning to categorize wild web videos.
2694759,"Polynomial-Delay and Polynomial-Space Algorithms for Mining Closed Sequences, Graphs, and Pictures in Accessible Set Systems."
2892494,Computing the stereo matching cost with a convolutional neural network.
2892490,Learning to segment under various forms of weak supervision.
2892493,Image denoising via adaptive soft-thresholding based on non-local samples.
1434275,Similarity search on supergraph containment.
1722515,Efficient Enumeration of Maximal k-Plexes.
2141069,Collaborative Topic Ranking: Leveraging Item Meta-Data for Sparsity Reduction.
2141068,Reinforcement Learning with Parameterized Actions.
1722512,Privacy preserving social graphs for high precision community detection.
2141061,Commitment to Correlated Strategies.
2141065,Representing Pronouns in Logical Form: Computational Constraints and Linguistic Evidence.
2141064,Argument Molecules: A Functional Representation of Argument Structure.
2144712,"Efficient PAC-Optimal Exploration in Concurrent, Continuous State MDPs with Delayed Updates."
2141541,A Self-organizing Multi-agent System for Adaptive Continuous Unsupervised Learning in Complex Uncertain Environments.
2551479,An Object-Oriented Modelling of the History of Optimal Retrievals.
2144710,Towards Scalable Exploration of Diagnoses in an Ontology Stream.
2694629,Feature Selection with the logRatio Kernel.
